best_ARIMA_order,Training Error(%),train_err_num
"(2, 1, 2)",30.58%,0.3058
"(0, 1, 2)",24.60%,0.246
"(2, 1, 1)",9.87%,0.0987
"(1, 1, 1)",1.90%,0.019
"(0, 1, 0)",8.75%,0.0875
"(1, 0, 0)",91.67%,0.9167
"(0, 0, 0)",7.92%,0.07919999999999999
"(0, 2, 2)",2.22%,0.0222
"(0, 1, 2)",4.93%,0.0493
"(2, 1, 0)",5.36%,0.0536
"(2, 1, 0)",3.24%,0.032400000000000005
"(0, 1, 2)",9.01%,0.0901
"(0, 0, 0)",12.10%,0.121
"(2, 1, 0)",6.39%,0.0639
"(2, 0, 1)",4.14%,0.0414
"(1, 0, 0)",57.57%,0.5757
"(0, 0, 0)",15.99%,0.1599
"(2, 1, 1)",9.40%,0.094
"(2, 0, 2)",6.00%,0.06
"(0, 0, 0)",4.37%,0.0437
"(0, 0, 2)",43.74%,0.4374
"(2, 0, 2)",14.68%,0.1468
"(2, 0, 0)",27.75%,0.2775
"(0, 1, 2)",182.84%,1.8284
"(0, 0, 2)",11.83%,0.1183
"(2, 1, 1)",15.25%,0.1525
"(0, 2, 2)",16.31%,0.1631
"(2, 0, 0)",14.43%,0.14429999999999998
"(0, 0, 0)",4.48%,0.044800000000000006
"(0, 0, 1)",7.58%,0.0758
"(2, 1, 2)",135.42%,1.3541999999999998
"(0, 0, 0)",17.34%,0.1734
"(0, 0, 2)",16.68%,0.1668
"(2, 1, 2)",9.67%,0.0967
"(2, 0, 0)",3.41%,0.0341
"(0, 0, 0)",19.92%,0.1992
"(0, 0, 1)",11.46%,0.1146
"(2, 1, 0)",9.30%,0.093
"(0, 1, 1)",11.79%,0.1179
"(0, 1, 2)",8.48%,0.0848
"(2, 1, 2)",12.30%,0.123
"(2, 1, 0)",4.41%,0.0441
"(2, 1, 0)",6.22%,0.0622
"(2, 0, 0)",9.69%,0.0969
"(0, 1, 2)",20.65%,0.2065
"(2, 1, 1)",13.82%,0.1382
"(2, 1, 0)",6.74%,0.0674
"(2, 1, 0)",4.99%,0.0499
"(0, 0, 0)",55.85%,0.5585
"(1, 0, 2)",3.72%,0.0372
"(0, 0, 0)",10.65%,0.1065
"(0, 1, 1)",7.28%,0.0728
"(0, 0, 1)",3.66%,0.0366
"(0, 1, 2)",17.01%,0.17010000000000006
"(0, 0, 2)",6.96%,0.0696
"(0, 0, 0)",22.87%,0.2287
"(2, 0, 2)",3.82%,0.0382
"(0, 2, 2)",5.58%,0.0558
"(2, 2, 2)",6.54%,0.0654
"(0, 2, 2)",9.38%,0.0938
"(0, 1, 2)",13.39%,0.13390000000000002
"(0, 0, 1)",6.71%,0.06709999999999999
"(0, 0, 0)",15.49%,0.1549
"(0, 2, 2)",8.42%,0.0842
"(2, 1, 0)",17.36%,0.1736
"(2, 1, 1)",5.01%,0.0501
"(0, 1, 1)",7.34%,0.07339999999999999
"(0, 0, 1)",13.15%,0.1315
"(0, 0, 0)",7.19%,0.0719
"(0, 0, 1)",25.98%,0.25980000000000003
"(2, 0, 0)",3.26%,0.0326
"(0, 0, 0)",21.83%,0.2183
"(0, 1, 1)",15.54%,0.15539999999999998
"(0, 1, 0)",5.87%,0.0587
"(0, 0, 0)",125.77%,1.2577
"(1, 0, 2)",36.30%,0.363
"(2, 1, 2)",9.33%,0.0933
"(0, 0, 0)",13.45%,0.13449999999999998
"(0, 0, 0)",11.23%,0.1123
"(2, 0, 0)",7.78%,0.07780000000000001
"(1, 0, 1)",14.41%,0.1441
"(0, 0, 0)",5.35%,0.0535
"(2, 0, 0)",7.08%,0.0708
"(0, 0, 2)",15.50%,0.155
"(2, 0, 2)",5.91%,0.0591
"(2, 0, 2)",15.58%,0.1558
"(1, 2, 2)",13.98%,0.1398
"(2, 0, 0)",30.33%,0.3033
"(2, 0, 0)",13.00%,0.13
"(2, 0, 1)",11.37%,0.1137
"(2, 0, 2)",16.89%,0.1689
"(0, 1, 2)",17.83%,0.1783
"(2, 0, 0)",5.25%,0.0525
"(2, 0, 1)",6.13%,0.0613
"(0, 0, 2)",21.78%,0.2178
"(2, 1, 0)",6.61%,0.0661
"(0, 0, 2)",29.30%,0.293
"(2, 0, 0)",5.95%,0.0595
"(0, 0, 2)",9.50%,0.095
"(0, 0, 0)",6.14%,0.0614
"(2, 0, 1)",35.66%,0.3566
"(2, 1, 1)",14.05%,0.1405
"(2, 0, 1)",14.06%,0.1406
"(2, 0, 0)",5.56%,0.0556
"(0, 0, 1)",80.25%,0.8025
"(1, 1, 2)",5.15%,0.0515
"(0, 1, 2)",184.24%,1.8424
"(0, 1, 1)",17.26%,0.1726
"(0, 1, 0)",9.32%,0.0932
"(2, 0, 2)",2.90%,0.029
"(0, 1, 1)",8.71%,0.08710000000000001
"(2, 0, 2)",3.06%,0.0306
"(0, 0, 2)",7.54%,0.0754
"(2, 1, 1)",13.21%,0.1321
"(0, 1, 2)",3.65%,0.0365
"(1, 1, 0)",10.11%,0.1011
"(1, 0, 0)",4.89%,0.0489
"(1, 0, 1)",9.57%,0.0957
"(0, 2, 0)",10.19%,0.1019
"(0, 0, 2)",31.16%,0.3116
"(0, 0, 0)",13.61%,0.1361
"(1, 0, 2)",8.97%,0.0897
"(2, 1, 2)",7.32%,0.0732
"(1, 0, 0)",56.67%,0.5667
"(2, 1, 1)",12.89%,0.1289
"(2, 1, 1)",13.93%,0.1393
"(1, 0, 2)",7.72%,0.07719999999999999
"(0, 1, 2)",7.83%,0.0783
"(0, 1, 2)",17.82%,0.1782
"(0, 0, 0)",9.80%,0.098
"(2, 0, 2)",7.29%,0.0729
"(0, 1, 2)",7.64%,0.0764
"(0, 0, 0)",5.46%,0.0546
"(2, 1, 1)",43.19%,0.4319
"(1, 0, 0)",17.89%,0.1789
"(1, 1, 2)",3.80%,0.038
"(0, 0, 0)",5.76%,0.0576
"(1, 1, 0)",3.30%,0.033
"(0, 0, 0)",5.58%,0.0558
"(2, 0, 2)",3.91%,0.0391
"(2, 0, 2)",4.22%,0.0422
"(1, 1, 0)",4.80%,0.048
"(0, 0, 0)",5.18%,0.0518
"(2, 1, 0)",5.26%,0.0526
"(0, 1, 2)",88.55%,0.8855
"(0, 0, 2)",5.72%,0.0572
"(1, 1, 0)",5.25%,0.0525
"(0, 1, 0)",3.43%,0.034300000000000004
"(2, 2, 0)",5.22%,0.0522
"(0, 0, 0)",7.40%,0.07400000000000001
"(0, 0, 0)",29.67%,0.2967
"(1, 1, 2)",5.12%,0.0512
"(2, 1, 2)",7.03%,0.0703
"(0, 1, 2)",5.70%,0.057
"(2, 1, 0)",11.71%,0.1171
"(0, 0, 0)",7.43%,0.07429999999999999
"(1, 1, 1)",7.70%,0.077
"(0, 0, 0)",6.61%,0.0661
"(1, 0, 2)",3.50%,0.035
"(2, 0, 1)",6.52%,0.0652
"(2, 0, 2)",5.45%,0.0545
"(2, 0, 2)",6.99%,0.0699
"(2, 1, 0)",3.98%,0.0398
"(2, 0, 0)",923.82%,9.2382
"(2, 0, 0)",6.73%,0.0673
"(1, 0, 0)",9.94%,0.0994
"(0, 2, 2)",13.41%,0.1341
"(0, 1, 1)",3.25%,0.0325
"(0, 0, 1)",37.81%,0.3781000000000001
"(2, 0, 0)",23.70%,0.237
"(2, 0, 0)",11.11%,0.1111
"(2, 1, 0)",4.39%,0.0439
"(2, 1, 0)",16.56%,0.1656
"(2, 1, 1)",19.17%,0.1917
"(0, 0, 1)",2.55%,0.0255
"(0, 0, 0)",16.36%,0.1636
"(0, 0, 0)",4.37%,0.0437
"(2, 0, 0)",11.30%,0.113
"(2, 0, 1)",3.63%,0.0363
"(2, 1, 1)",10.61%,0.1061
"(2, 1, 0)",32.35%,0.3235
"(2, 1, 1)",12.34%,0.1234
"(0, 1, 1)",12.00%,0.12
"(0, 0, 0)",12.44%,0.1244
"(1, 0, 1)",4.12%,0.0412
"(2, 1, 1)",10.29%,0.1029
"(2, 1, 0)",2.64%,0.0264
"(0, 1, 2)",12.88%,0.1288
"(2, 0, 0)",12.45%,0.1245
"(1, 1, 2)",8.49%,0.0849
"(2, 1, 1)",14.50%,0.145
"(0, 0, 1)",3.11%,0.0311
"(0, 0, 1)",5.10%,0.051
"(0, 0, 1)",5.87%,0.0587
"(0, 0, 0)",5.03%,0.0503
"(2, 0, 0)",11.48%,0.1148
"(2, 1, 1)",8.49%,0.0849
"(2, 1, 1)",13.09%,0.1309
"(2, 1, 1)",4.37%,0.0437
"(1, 0, 2)",9.16%,0.0916
"(2, 1, 0)",5.39%,0.0539
"(2, 1, 0)",6.91%,0.0691
"(0, 2, 0)",8.05%,0.0805
"(0, 0, 1)",5.58%,0.0558
"(2, 0, 0)",51.60%,0.516
"(2, 1, 0)",4.23%,0.0423
"(0, 1, 2)",27.80%,0.278
"(1, 0, 0)",4.44%,0.0444
"(1, 0, 1)",5.09%,0.0509
"(2, 0, 2)",4.65%,0.04650000000000002
"(0, 0, 2)",16.07%,0.1607
"(2, 1, 0)",15.17%,0.1517
